,XOM_adjOpen,COP_adjOpen,CVX_adjOpen,TTE_adjOpen,OXY_adjOpen,XOM_adjClose,COP_adjClose,CVX_adjClose,TTE_adjClose,OXY_adjClose
2016-08-15 00:00:00+00:00,66.7156754312,35.9724495464,79.6005837113,35.2750241629,58.6912977918,66.2554112148,36.421457558,79.7247050775,35.3550458717,58.8088371065
2016-08-16 00:00:00+00:00,66.2705018448,36.421457558,79.7247050775,35.4932651868,58.5894303858,66.33840968,37.0086218809,79.6083412967,35.7769785179,59.5610887204
2016-08-17 00:00:00+00:00,66.33840968,36.8618308002,79.5637067215,35.6242098012,59.45138536,66.4817706655,37.3022040424,80.1280995179,35.9006484314,60.0312459791
2016-08-18 00:00:00+00:00,66.6854941711,37.4230908147,80.4494898604,35.6751327067,60.2741605627,67.0853958673,37.6389600511,81.1706584336,36.1043400537,60.7129740041
2016-08-19 00:00:00+00:00,66.8741270467,37.371282198,80.7943965693,35.6242098012,60.2663246084,66.2478658998,37.4058212758,80.2064874063,35.6605833051,59.9763942989
2016-08-22 00:00:00+00:00,65.8781454637,36.9050046475,79.7596764425,35.1513542494,59.576760629,66.3912268852,36.8100221835,79.9086134304,34.9913108318,59.8353471213
2016-08-23 00:00:00+00:00,66.2780471599,36.7841178751,79.97916253,35.1149807454,59.8431830756,66.1875033796,37.3194735813,79.7048049206,35.0858819422,60.2506526998
2016-08-24 00:00:00+00:00,66.0215064491,37.0949695755,79.4853188331,35.1004313438,60.2428167455,66.4138628303,37.0949695755,80.1124219403,34.9985855326,60.9010369076
2016-08-25 00:00:00+00:00,66.4138628303,37.0431609587,80.1829710398,34.9476626271,60.8540211818,65.991325189,36.9395437253,79.8694194862,34.9476626271,60.6189425524
2016-08-26 00:00:00+00:00,66.1195955444,37.0431609587,80.0418728407,35.3695952733,60.75998973,65.8479642036,36.5250747915,79.4226085224,35.2750241629,60.4700594205
2016-08-29 00:00:00+00:00,65.674421958,36.421457558,79.3598982117,34.8603662175,60.4152077403,66.2780471599,36.5682486388,79.9948401077,35.1368048478,61.0812638568
2016-08-30 00:00:00+00:00,66.3006831049,36.7754831057,80.1908098287,35.3113976669,61.4965694353,66.0365970791,36.4646314053,79.7204824983,35.2822988637,60.9950683594
2016-08-31 00:00:00+00:00,65.7498751083,36.3178403246,79.3285430563,35.1077060446,60.7913335473,65.7498751083,35.4457286097,78.8425381483,34.736696304,60.2193088825
2016-09-01 00:00:00+00:00,65.4329718773,35.3162070679,78.662246005,34.6348504928,59.9842302532,65.5235156576,35.0571639843,78.5525029612,34.7439710048,60.2114729282
2016-09-02 00:00:00+00:00,65.9611439289,35.5320763042,79.0855406023,35.4568916828,60.7834975929,65.9611439289,35.3334766068,79.1168957576,35.6096603996,60.7364818671
2016-09-06 00:00:00+00:00,66.2780471599,35.4370938402,79.3363818452,35.9297472346,60.8070054559,66.8288551565,35.4025547624,80.2927140836,36.0970653529,61.1204436283
2016-09-07 00:00:00+00:00,66.8892176767,35.5925196904,80.5435553264,36.4317015896,61.2479036086,66.5798597608,35.8170236962,80.6454595814,36.3371304792,61.0342481309
2016-09-08 00:00:00+00:00,66.8137645265,36.1969535522,81.006043868,36.0752412505,61.3824274279,67.1910302776,37.371282198,81.6174693975,36.4389762904,61.524864413
2016-09-09 00:00:00+00:00,66.8967629917,36.9827175726,81.0138826568,35.9224725338,61.1687719502,65.5235156576,36.4819009442,79.3834145782,35.4568916828,60.2271052151
2016-09-12 00:00:00+00:00,65.4782437674,36.2401273995,79.3285430563,35.0058602334,59.4278754652,65.8630548336,36.8445612613,80.1516158845,35.6314845019,60.0213629033
2016-09-13 00:00:00+00:00,65.2367936867,36.1969535522,79.6812885541,34.8821903199,59.3645701385,64.2936293089,35.4111895319,77.9410774317,34.5039058785,58.1696820965
2016-09-14 00:00:00+00:00,64.1653589535,35.2816679901,77.6980749777,33.9728527203,58.0114187797,63.8333650925,34.5304430475,77.1493597589,33.8928310116,56.8165307377
2016-09-15 00:00:00+00:00,63.8861822976,34.5477125865,77.2120700696,33.6673152869,56.8719228986,64.1955402136,34.5649821254,77.9959489536,34.0819732323,57.1884495322
2016-09-16 00:00:00+00:00,63.7654572573,34.2109565777,77.0788106594,33.0853392231,56.6582674209,63.4032821362,34.4268258141,76.6947100062,33.303580247,56.207216968
2016-09-19 00:00:00+00:00,63.8182744624,34.6426950505,77.0788106594,33.6891393892,56.60287526,63.2523758357,33.9173744163,76.851485783,33.7618863972,56.0410404853
2016-09-20 00:00:00+00:00,63.1769226855,33.9605482636,76.9533900379,33.7982599012,56.0726931487,62.2790301978,33.684235641,76.5849669625,33.6163923813,55.7878191784
2016-09-21 00:00:00+00:00,62.4902990184,34.0900698054,77.094488237,33.7255128932,56.2784354605,62.8524741395,34.5908864337,78.0978532085,34.2929395554,56.8165307377
2016-09-22 00:00:00+00:00,63.5919150118,35.1866855261,78.7955054152,35.2550876948,57.4337576733,63.0335617001,35.4198243013,78.3722108179,35.1075460012,56.5079172699
2016-09-23 00:00:00+00:00,62.3846646081,34.8499295174,77.8705283322,34.6649209203,56.4920909382,62.9656538649,34.4872692003,77.7764628661,34.3255750249,55.0756342527
2016-09-26 00:00:00+00:00,63.01847107,34.6081559726,77.9881101648,34.1780333313,55.2338975695,62.671386579,34.5563473559,77.4315561571,34.0083603836,54.8540656092
2016-09-27 00:00:00+00:00,62.3167567729,34.1418784221,77.0082615598,33.6026207261,54.4030151562,62.8072022494,34.0468959581,77.5883319339,33.8681957746,54.3238834978
2016-09-28 00:00:00+00:00,62.9731991799,34.1936870388,78.0116265313,34.0968853998,54.6562364631,65.5687875477,36.421457558,80.0732279961,34.8124626139,56.8956623961
2016-09-29 00:00:00+00:00,65.6216047529,36.2401273995,79.9556461635,35.3141043723,56.8323570694,65.2367936867,37.6994034373,79.3834145782,35.1444314246,57.0855783763
2016-09-30 00:00:00+00:00,65.5235156576,37.8375597485,79.8223867532,34.9009876301,57.4179313416,65.8555095186,37.5353428176,80.6768147367,35.1886939327,57.7028053119
2016-10-03 00:00:00+00:00,65.5989688078,37.7166729762,80.3867795497,35.1444314246,57.7028053119,65.6819672731,37.5008037398,80.3083916613,35.0927918318,57.6236736535
2016-10-04 00:00:00+00:00,65.9309626688,37.5008037398,80.5122001711,35.4616460659,57.6394999852,65.0783420712,37.0172566504,79.3834145782,35.2698418642,57.4891498342
2016-10-05 00:00:00+00:00,65.5159703426,37.561247126,79.9478073746,35.6977127757,57.9876792822,65.6442406979,37.9152726736,80.1359383068,35.5944335902,57.4021050099
2016-10-06 00:00:00+00:00,65.8328735735,38.0706985238,80.2064874063,35.5796794208,57.5603683268,65.674421958,38.4419936103,80.0967443626,35.5575481668,58.193421594
